x-axis,1,2
second,Volt,Volt
-4.998000E-03,+48.128639E-03,-337.959879E-03
-4.993000E-03,+46.231155E-03,-611.005165E-03
-4.988000E-03,+45.571909E-03,-657.316576E-03
-4.983000E-03,+48.193000E-03,-677.417078E-03
-4.978000E-03,+46.231155E-03,-665.034707E-03
-4.973000E-03,+47.726576E-03,-677.417078E-03
-4.968000E-03,+46.231155E-03,-677.417078E-03
-4.963000E-03,+46.231155E-03,-677.417078E-03
-4.958000E-03,+46.231155E-03,-680.955648E-03
-4.953000E-03,+47.871455E-03,-693.820075E-03
-4.948000E-03,+47.324513E-03,-677.417078E-03
-4.943000E-03,+48.048121E-03,-677.417078E-03
-4.938000E-03,+46.761678E-03,-682.722309E-03
-4.933000E-03,+46.987075E-03,-697.517580E-03
-4.928000E-03,+46.231155E-03,-697.517580E-03
-4.923000E-03,+46.231155E-03,-697.517580E-03
-4.918000E-03,+47.646058E-03,-697.517580E-03
-4.913000E-03,+48.112745E-03,-698.802186E-03
-4.908000E-03,+47.083223E-03,-709.097401E-03
-4.903000E-03,+46.231155E-03,-701.861325E-03
-4.898000E-03,+47.951972E-03,-697.517580E-03
-4.893000E-03,+47.228365E-03,-707.489676E-03
-4.888000E-03,+48.241206E-03,-717.618083E-03
-4.883000E-03,+46.231155E-03,-717.618083E-03
-4.878000E-03,+46.231155E-03,-705.881951E-03
-4.873000E-03,+48.128376E-03,-717.618083E-03
-4.868000E-03,+46.841933E-03,-717.618083E-03
-4.863000E-03,+46.906820E-03,-717.618083E-03
-4.858000E-03,+46.279098E-03,-697.997011E-03
-4.853000E-03,+47.002706E-03,-717.618083E-03
-4.848000E-03,+48.241206E-03,-712.469163E-03
-4.843000E-03,+46.439871E-03,-699.604736E-03
-4.838000E-03,+47.163478E-03,-717.618083E-03
-4.833000E-03,+47.887086E-03,-717.618083E-03
-4.828000E-03,+46.231155E-03,-701.212462E-03
-4.823000E-03,+47.324251E-03,-717.618083E-03
-4.818000E-03,+48.047859E-03,-717.618083E-03
-4.813000E-03,+46.761416E-03,-717.618083E-03
-4.808000E-03,+47.485024E-03,-717.618083E-03
-4.803000E-03,+46.231155E-03,-717.618083E-03
-4.798000E-03,+46.922188E-03,-724.528415E-03
-4.793000E-03,+47.645796E-03,-725.810396E-03
-4.788000E-03,+46.231155E-03,-717.618083E-03
-4.783000E-03,+47.389400E-03,-717.618083E-03
-4.778000E-03,+46.231155E-03,-721.964452E-03
-4.773000E-03,+47.952235E-03,-720.507789E-03
-4.768000E-03,+45.218577E-03,-717.467020E-03
